nom_hotel,annee,mois,nombre_ventes,montant_ventes,nombre_paniers,nombre_produits,nombre_categories_mois_f_b,nombre_categories_mois_n_f_b,pct_categories_mois_f_b,pct_categories_mois_n_f_b,nombre_mois,premier_mois,dernier_mois,mois_actifs,mois_manquants,hotel_code
Mercure Paris Montmartre Sacré-Cœur,2024,4,749.0,5671.0,519.0,54.0,5.0,3.0,0.625,0.375,12,1,12,12,0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,5,640.0,4848.0,409.0,41.0,4.0,3.0,0.5714285714285714,0.42857142857142855,12,1,12,12,0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,6,807.0,5937.0,522.0,33.0,5.0,3.0,0.625,0.375,12,1,12,12,0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,7,654.0,6826.0,384.0,34.0,5.0,3.0,0.625,0.375,12,1,12,12,0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,8,621.0,5285.0,343.0,25.0,4.0,2.0,0.6666666666666666,0.3333333333333333,12,1,12,12,0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,9,903.0,7992.0,534.0,26.0,4.0,2.0,0.6666666666666666,0.3333333333333333,12,1,12,12,0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,10,1058.0,9518.0,576.0,27.0,4.0,2.0,0.6666666666666666,0.3333333333333333,12,1,12,12,0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,11,708.0,5706.0,389.0,26.0,5.0,2.0,0.7142857142857143,0.2857142857142857,12,1,12,12,0,H0373
Mercure Paris Montmartre Sacré-Cœur,2024,12,618.0,5509.0,380.0,24.0,4.0,1.0,0.8,0.2,12,1,12,12,0,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,1,597.0,5178.0,337.0,26.0,5.0,2.0,0.7142857142857143,0.2857142857142857,12,1,12,12,0,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,2,513.0,4731.0,327.0,28.0,5.0,3.0,0.625,0.375,12,1,12,12,0,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,3,569.0,4669.0,358.0,26.0,5.0,2.0,0.7142857142857143,0.2857142857142857,12,1,12,12,0,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,4,508.0,4450.0,332.0,23.0,4.0,1.0,0.8,0.2,12,1,12,12,0,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,5,352.0,3087.0,229.0,22.0,4.0,1.0,0.8,0.2,12,1,12,12,0,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,6,466.0,3445.0,328.0,26.0,4.0,2.0,0.6666666666666666,0.3333333333333333,12,1,12,12,0,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,7,286.0,2152.0,200.0,27.0,4.0,3.0,0.5714285714285714,0.42857142857142855,12,1,12,12,0,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,8,214.0,1789.0,132.0,22.0,4.0,3.0,0.5714285714285714,0.42857142857142855,12,1,12,12,0,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,9,501.0,4024.0,324.0,20.0,4.0,3.0,0.5714285714285714,0.42857142857142855,12,1,12,12,0,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,10,590.0,4607.5,401.0,21.0,4.0,2.0,0.6666666666666666,0.3333333333333333,12,1,12,12,0,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,11,405.0,3321.5,276.0,23.0,4.0,2.0,0.6666666666666666,0.3333333333333333,12,1,12,12,0,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,12,436.0,3664.3,298.0,23.0,4.0,3.0,0.5714285714285714,0.42857142857142855,12,1,12,12,0,H0373
Novotel Megève Mont-Blanc,2024,3,54.0,686.0,39.0,36.0,2.0,5.0,0.2857142857142857,0.7142857142857143,10,3,12,10,2,HB5I0
Novotel Megève Mont-Blanc,2024,4,80.0,899.5,50.0,43.0,3.0,5.0,0.375,0.625,10,3,12,10,2,HB5I0
Novotel Megève Mont-Blanc,2024,5,110.0,1380.4,70.0,53.0,5.0,6.0,0.45454545454545453,0.5454545454545454,10,3,12,10,2,HB5I0
Novotel Megève Mont-Blanc,2024,6,109.0,973.8,73.0,41.0,5.0,5.0,0.5,0.5,10,3,12,10,2,HB5I0
Novotel Megève Mont-Blanc,2024,7,148.0,1301.4,100.0,53.0,5.0,6.0,0.45454545454545453,0.5454545454545454,10,3,12,10,2,HB5I0
Novotel Megève Mont-Blanc,2024,8,188.0,1770.4,122.0,71.0,5.0,6.0,0.45454545454545453,0.5454545454545454,10,3,12,10,2,HB5I0
Novotel Megève Mont-Blanc,2024,9,102.0,1555.4,73.0,47.0,5.0,6.0,0.45454545454545453,0.5454545454545454,10,3,12,10,2,HB5I0
Novotel Megève Mont-Blanc,2024,10,73.0,789.7,50.0,41.0,4.0,6.0,0.4,0.6,10,3,12,10,2,HB5I0
Novotel Megève Mont-Blanc,2024,11,72.0,1301.8000000000002,51.0,38.0,4.0,6.0,0.4,0.6,10,3,12,10,2,HB5I0
Novotel Megève Mont-Blanc,2024,12,217.0,1824.0,136.0,65.0,5.0,7.0,0.4166666666666667,0.5833333333333334,10,3,12,10,2,HB5I0
Novotel Megève Mont-Blanc,2025,1,224.0,2018.95,110.0,59.0,5.0,6.0,0.45454545454545453,0.5454545454545454,12,1,12,12,0,HB5I0
Novotel Megève Mont-Blanc,2025,2,336.0,2408.65,177.0,75.0,4.0,7.0,0.36363636363636365,0.6363636363636364,12,1,12,12,0,HB5I0
Novotel Megève Mont-Blanc,2025,3,201.0,1371.75,124.0,55.0,3.0,7.0,0.3,0.7,12,1,12,12,0,HB5I0
Novotel Megève Mont-Blanc,2025,4,91.0,738.1500000000001,61.0,39.0,3.0,6.0,0.3333333333333333,0.6666666666666666,12,1,12,12,0,HB5I0
Novotel Megève Mont-Blanc,2025,5,63.0,596.2,45.0,31.0,3.0,6.0,0.3333333333333333,0.6666666666666666,12,1,12,12,0,HB5I0
Novotel Megève Mont-Blanc,2025,6,144.0,1183.55,73.0,51.0,3.0,7.0,0.3,0.7,12,1,12,12,0,HB5I0
Novotel Megève Mont-Blanc,2025,7,268.0,1835.2,147.0,59.0,4.0,6.0,0.4,0.6,12,1,12,12,0,HB5I0
Novotel Megève Mont-Blanc,2025,8,356.0,2873.55,204.0,66.0,3.0,7.0,0.3,0.7,12,1,12,12,0,HB5I0
Novotel Megève Mont-Blanc,2025,9,164.0,1220.8,99.0,38.0,3.0,7.0,0.3,0.7,12,1,12,12,0,HB5I0
Novotel Megève Mont-Blanc,2025,10,70.0,458.65,34.0,30.0,3.0,6.0,0.3333333333333333,0.6666666666666666,12,1,12,12,0,HB5I0
Novotel Megève Mont-Blanc,2025,11,158.0,1201.85,97.0,31.0,3.0,7.0,0.3,0.7,12,1,12,12,0,HB5I0
Novotel Megève Mont-Blanc,2025,12,448.0,3334.5,261.0,70.0,4.0,7.0,0.36363636363636365,0.6363636363636364,12,1,12,12,0,HB5I0
Novotel Paris Tour Eiffel,2024,5,1.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,7,5,12,8,4,H3546
Novotel Paris Tour Eiffel,2024,6,335.0,3682.5,199.0,0.0,3.0,1.0,0.75,0.25,7,5,12,8,4,H3546
Novotel Paris Tour Eiffel,2024,7,382.0,2825.67,200.0,0.0,3.0,2.0,0.6,0.4,7,5,12,8,4,H3546
Novotel Paris Tour Eiffel,2024,9,365.0,1718.4999999999995,200.0,0.0,3.0,2.0,0.6,0.4,7,5,12,8,4,H3546
Novotel Paris Tour Eiffel,2024,10,2927.0,13290.0,1705.0,0.0,3.0,2.0,0.6,0.4,7,5,12,8,4,H3546
Novotel Paris Tour Eiffel,2024,11,2488.0,11874.8,1493.0,0.0,3.0,2.0,0.6,0.4,7,5,12,8,4,H3546
Novotel Paris Tour Eiffel,2024,12,3134.0,14113.0,1718.0,0.0,3.0,2.0,0.6,0.4,7,5,12,8,4,H3546
Novotel Paris Tour Eiffel,2025,1,2357.0,10889.6,1340.0,0.0,3.0,1.0,0.75,0.25,12,1,12,12,0,H3546
Novotel Paris Tour Eiffel,2025,2,2569.0,12402.599999999999,1471.0,0.0,3.0,2.0,0.6,0.4,12,1,12,12,0,H3546
Novotel Paris Tour Eiffel,2025,3,2790.0,13418.0,1638.0,0.0,3.0,2.0,0.6,0.4,12,1,12,12,0,H3546
Novotel Paris Tour Eiffel,2025,4,3118.0,14855.0,1741.0,0.0,3.0,2.0,0.6,0.4,12,1,12,12,0,H3546
Novotel Paris Tour Eiffel,2025,5,3259.0,15280.2,1831.0,0.0,3.0,2.0,0.6,0.4,12,1,12,12,0,H3546
Novotel Paris Tour Eiffel,2025,6,3612.0,17358.9,2033.0,0.0,3.0,2.0,0.6,0.4,12,1,12,12,0,H3546
Novotel Paris Tour Eiffel,2025,7,4515.0,23386.0,2384.0,0.0,3.0,2.0,0.6,0.4,12,1,12,12,0,H3546
Novotel Paris Tour Eiffel,2025,8,3837.0,17853.899999999998,1988.0,0.0,3.0,2.0,0.6,0.4,12,1,12,12,0,H3546
Novotel Paris Tour Eiffel,2025,9,2866.0,13850.1,1693.0,0.0,3.0,2.0,0.6,0.4,12,1,12,12,0,H3546
Novotel Paris Tour Eiffel,2025,10,3172.0,14511.5,1705.0,0.0,3.0,2.0,0.6,0.4,12,1,12,12,0,H3546
Novotel Paris Tour Eiffel,2025,11,2610.0,11985.9,1497.0,0.0,3.0,2.0,0.6,0.4,12,1,12,12,0,H3546
Novotel Paris Tour Eiffel,2025,12,3151.0,14433.8,1711.0,0.0,3.0,2.0,0.6,0.4,12,1,12,12,0,H3546
Novotel Porte d’Italie,2024,9,40.0,150.8,31.0,0.0,3.0,0.0,1.0,0.0,4,9,12,4,8,
Novotel Porte d’Italie,2024,10,244.0,868.9,156.0,0.0,3.0,0.0,1.0,0.0,4,9,12,4,8,
Novotel Porte d’Italie,2024,11,191.0,700.6599999999999,125.0,0.0,3.0,1.0,0.75,0.25,4,9,12,4,8,
Novotel Porte d’Italie,2024,12,187.0,676.0999999999999,125.0,0.0,3.0,1.0,0.75,0.25,4,9,12,4,8,
Novotel Porte d’Italie,2025,1,32.0,151.60000000000002,21.0,0.0,3.0,0.0,1.0,0.0,12,1,12,12,0,
Novotel Porte d’Italie,2025,2,60.0,250.99999999999997,40.0,0.0,3.0,0.0,1.0,0.0,12,1,12,12,0,
Novotel Porte d’Italie,2025,3,125.0,494.5999999999999,92.0,0.0,3.0,0.0,1.0,0.0,12,1,12,12,0,
Novotel Porte d’Italie,2025,4,83.0,291.79999999999995,57.0,0.0,3.0,0.0,1.0,0.0,12,1,12,12,0,
Novotel Porte d’Italie,2025,5,218.0,884.0999999999999,148.0,0.0,3.0,0.0,1.0,0.0,12,1,12,12,0,
Novotel Porte d’Italie,2025,6,115.0,559.2,96.0,0.0,3.0,0.0,1.0,0.0,12,1,12,12,0,
Novotel Porte d’Italie,2025,7,179.0,760.0,123.0,0.0,3.0,0.0,1.0,0.0,12,1,12,12,0,
Novotel Porte d’Italie,2025,8,121.0,508.70000000000005,85.0,0.0,3.0,0.0,1.0,0.0,12,1,12,12,0,
Novotel Porte d’Italie,2025,9,80.0,283.5,58.0,0.0,3.0,0.0,1.0,0.0,12,1,12,12,0,
Novotel Porte d’Italie,2025,10,14.0,57.29999999999999,11.0,0.0,2.0,0.0,1.0,0.0,12,1,12,12,0,
Novotel Porte d’Italie,2025,11,94.0,291.15000000000003,66.0,0.0,3.0,0.0,1.0,0.0,12,1,12,12,0,
Novotel Porte d’Italie,2025,12,108.0,423.79999999999995,73.0,0.0,3.0,0.0,1.0,0.0,12,1,12,12,0,
