nom_hotel,annee,nombre_ventes,montant_ventes,nombre_paniers,nombre_produits,hotel_code
Ibis budget Nice,2023,7.833333333333333,84.33333333333333,6.666666666666667,2.1666666666666665,H2075
Ibis budget Nice,2024,140.83333333333334,446.3416666666667,91.41666666666667,7.333333333333333,H2075
Ibis budget Nice,2025,306.5,1004.0583333333334,203.41666666666666,8.75,H2075
Ibis budget Strasbourg Centre République,2024,65.5,241.45833333333334,43.916666666666664,2.8333333333333335,HB6A3
Ibis budget Strasbourg Centre République,2025,343.5,1165.9583333333333,220.5,2.6666666666666665,HB6A3
Mercure Paris Montmartre Sacré-Cœur,2024,649.0833333333334,5402.708333333333,397.6666666666667,8.75,H0373
Mercure Paris Montmartre Sacré-Cœur,2025,453.0833333333333,3759.8583333333336,295.1666666666667,4.083333333333333,H0373
Novotel Megève Mont-Blanc,2024,96.08333333333333,1040.2,63.666666666666664,15.166666666666666,HB5I0
Novotel Megève Mont-Blanc,2025,210.25,1603.4833333333336,119.33333333333333,15.916666666666666,HB5I0
Novotel Paris Tour Eiffel,2024,802.6666666666666,3958.955833333333,459.6666666666667,0.0,H3546
Novotel Paris Tour Eiffel,2025,3154.6666666666665,15018.791666666666,1752.6666666666667,0.0,H3546
Novotel Porte d’Italie,2024,55.166666666666664,199.705,36.416666666666664,0.0,
Novotel Porte d’Italie,2025,102.41666666666667,413.0625,72.5,0.0,
